participant_ID,cue,RT (ms),task_switch_type
1,x,1.1449649,easy_to_hard
1,x,0.9698989,easy_to_hard
1,y,0.5191452,hard_to_easy
1,x,0.541138,easy_to_hard
1,y,0.4848079,hard_to_easy
1,x,0.6170159,easy_to_hard
1,y,0.461941,hard_to_easy
1,x,0.6148083,easy_to_hard
1,y,0.4443956,hard_to_easy
1,x,0.6496012,easy_to_hard
1,y,0.3226657,hard_to_easy
1,x,0.8671467,easy_to_hard
1,y,0.3900096,hard_to_easy
1,x,0.5072145,easy_to_hard
1,y,0.4869084,hard_to_easy
1,x,0.5563916,easy_to_hard
1,y,0.3499643,hard_to_easy
1,x,0.8415867,easy_to_hard
1,y,0.4881466,hard_to_easy
1,x,0.6003403,easy_to_hard
1,y,0.3954125,hard_to_easy
1,x,0.7309724,easy_to_hard
1,y,0.3503371,hard_to_easy
1,x,0.5563424,easy_to_hard
1,y,0.4156723,hard_to_easy
1,x,0.6001437,easy_to_hard
1,y,0.4415812,hard_to_easy
1,x,0.7324505,easy_to_hard
1,y,0.2858889,hard_to_easy
1,x,0.8402387,easy_to_hard
1,y,0.4218184,hard_to_easy
1,x,0.4028817,easy_to_hard
1,y,0.4222932,hard_to_easy
1,x,0.4506226,easy_to_hard
1,y,1.2022033,hard_to_easy
1,x,0.8349316,easy_to_hard
1,y,0.49181,hard_to_easy
1,x,2.0506114,easy_to_hard
1,y,0.5199897,hard_to_easy
1,x,1.0607304,easy_to_hard
1,y,0.5542981,hard_to_easy
1,x,0.5912275,easy_to_hard
1,y,0.9404957,hard_to_easy
1,x,0.9369337,easy_to_hard
1,y,0.8071843,hard_to_easy
1,x,0.8079875,easy_to_hard
1,y,0.3857613,hard_to_easy
1,x,0.7817833,easy_to_hard
1,y,0.6363372,hard_to_easy
1,x,0.7436352,easy_to_hard
1,y,0.5461292,hard_to_easy
1,x,0.6795415,easy_to_hard
1,y,0.370604,hard_to_easy
1,x,0.8210724,easy_to_hard
1,y,0.3758902,hard_to_easy
1,x,0.6097918,easy_to_hard
1,y,0.36218,hard_to_easy
2,x,0.8046372,easy_to_hard
2,y,0.4448873,hard_to_easy
2,x,0.4865439,easy_to_hard
2,y,0.4585567,hard_to_easy
2,x,1.0338204,easy_to_hard
2,y,0.3914917,hard_to_easy
2,x,0.736714,easy_to_hard
2,y,0.3976115,hard_to_easy
2,x,0.458175399,easy_to_hard
2,y,0.67442,hard_to_easy
2,x,0.4227145,easy_to_hard
2,y,0.4865789,hard_to_easy
2,x,1.1590858,easy_to_hard
2,y,0.3418327,hard_to_easy
2,x,0.6423515,easy_to_hard
2,y,0.4386211,hard_to_easy
2,x,0.560004701,easy_to_hard
2,y,0.365416801,hard_to_easy
2,x,0.536388201,easy_to_hard
2,y,0.5921187,hard_to_easy
2,x,0.4923562,easy_to_hard
2,y,0.418096,hard_to_easy
2,x,0.5392274,easy_to_hard
2,y,0.4369247,hard_to_easy
2,x,1.2510772,easy_to_hard
2,y,0.302510899,hard_to_easy
2,x,0.734393899,easy_to_hard
2,y,0.3021863,hard_to_easy
2,x,1.0600631,easy_to_hard
2,y,0.3950305,hard_to_easy
2,x,0.6788136,easy_to_hard
2,y,0.3604277,hard_to_easy
2,x,0.6816656,easy_to_hard
2,y,0.392203701,hard_to_easy
2,x,0.7889386,easy_to_hard
2,y,0.405310499,hard_to_easy
2,x,0.5728823,easy_to_hard
2,y,0.4176721,hard_to_easy
2,x,0.7877324,easy_to_hard
2,y,0.4378059,hard_to_easy
2,x,0.5741864,easy_to_hard
2,y,0.407032399,hard_to_easy
2,x,0.875820001,easy_to_hard
2,y,0.4454584,hard_to_easy
2,x,0.4556598,easy_to_hard
2,y,0.3630834,hard_to_easy
2,x,1.340623501,easy_to_hard
2,y,0.4015244,hard_to_easy
2,x,0.4083553,easy_to_hard
2,y,0.4127934,hard_to_easy
2,x,0.4958678,easy_to_hard
2,y,0.3958751,hard_to_easy
2,x,0.4456049,easy_to_hard
3,y,0.3425429,hard_to_easy
3,x,0.8575554,easy_to_hard
3,y,0.348158,hard_to_easy
3,x,0.7750046,easy_to_hard
3,y,0.4700608,hard_to_easy
3,x,0.8193486,easy_to_hard
3,y,0.3492097,hard_to_easy
3,x,0.5662445,easy_to_hard
3,y,0.3249657,hard_to_easy
3,x,0.7689775,easy_to_hard
3,y,0.584733901,hard_to_easy
3,x,1.161057999,easy_to_hard
3,y,0.4902414,hard_to_easy
3,x,0.7764624,easy_to_hard
3,y,0.4514559,hard_to_easy
3,x,0.758728,easy_to_hard
3,y,0.3633941,hard_to_easy
3,x,0.41703,easy_to_hard
3,y,0.388394,hard_to_easy
3,x,0.7845301,easy_to_hard
3,y,0.3670033,hard_to_easy
3,x,0.6695338,easy_to_hard
3,y,0.374481901,hard_to_easy
3,x,0.697287,easy_to_hard
3,y,0.4360721,hard_to_easy
3,x,0.4898801,easy_to_hard
3,y,0.4461449,hard_to_easy
3,x,0.4982677,easy_to_hard
3,y,0.4247452,hard_to_easy
3,x,1.759342699,easy_to_hard
3,y,0.451307,hard_to_easy
3,x,1.3553729,easy_to_hard
3,y,0.4668845,hard_to_easy
3,x,0.4706851,easy_to_hard
3,y,0.5139017,hard_to_easy
3,x,0.542934,easy_to_hard
3,y,0.386326999,hard_to_easy
3,x,0.5673841,easy_to_hard
3,y,0.3336132,hard_to_easy
3,x,0.7472705,easy_to_hard
3,y,0.461253201,hard_to_easy
3,x,0.501665699,easy_to_hard
3,y,0.4155843,hard_to_easy
3,x,0.526529999,easy_to_hard
3,y,0.3943831,hard_to_easy
3,x,0.4506518,easy_to_hard
3,y,0.3729683,hard_to_easy
3,x,0.5936872,easy_to_hard
3,y,0.589307199,hard_to_easy
3,x,0.8807809,easy_to_hard
3,y,0.4202532,hard_to_easy
3,x,0.6518456,easy_to_hard
3,y,0.4128793,hard_to_easy
3,x,0.7447101,easy_to_hard
3,y,0.369703,hard_to_easy
3,x,0.6295413,easy_to_hard
3,y,0.3986938,hard_to_easy
3,x,0.557922,easy_to_hard
3,y,0.3695673,hard_to_easy
3,x,0.3856018,easy_to_hard
3,y,0.398828999,hard_to_easy
3,x,0.783483,easy_to_hard
3,y,0.3679482,hard_to_easy
3,x,0.6743259,easy_to_hard
4,y,0.4060439,hard_to_easy
4,x,0.7869028,easy_to_hard
4,y,0.302999,hard_to_easy
4,x,0.8708362,easy_to_hard
4,y,0.344063699,hard_to_easy
4,x,0.7156528,easy_to_hard
4,y,0.348069,hard_to_easy
4,x,0.5823433,easy_to_hard
4,y,0.3410199,hard_to_easy
4,x,1.0187992,easy_to_hard
4,y,0.3238709,hard_to_easy
4,x,0.6092234,easy_to_hard
4,y,0.3270687,hard_to_easy
4,x,0.589390799,easy_to_hard
4,y,0.4087704,hard_to_easy
4,x,0.8306453,easy_to_hard
4,y,0.3195094,hard_to_easy
4,x,0.6506899,easy_to_hard
4,y,0.3664714,hard_to_easy
4,x,0.4505342,easy_to_hard
4,y,0.288793,hard_to_easy
4,x,0.796143199,easy_to_hard
4,y,0.297713701,hard_to_easy
4,x,0.3929241,easy_to_hard
4,y,0.2883169,hard_to_easy
4,x,0.856376001,easy_to_hard
4,y,0.3738191,hard_to_easy
4,x,0.7436369,easy_to_hard
4,y,0.3488647,hard_to_easy
4,x,0.517029299,easy_to_hard
4,y,0.3393376,hard_to_easy
4,x,0.784124699,easy_to_hard
4,y,0.2753385,hard_to_easy
4,x,0.491068499,easy_to_hard
4,y,0.2959858,hard_to_easy
4,x,0.5552209,easy_to_hard
4,y,0.3088354,hard_to_easy
4,x,0.5353071,easy_to_hard
4,y,0.3165593,hard_to_easy
4,x,0.6455608,easy_to_hard
4,y,0.5761619,hard_to_easy
4,x,0.387157801,easy_to_hard
4,y,0.3365494,hard_to_easy
4,x,0.7006431,easy_to_hard
4,y,0.3006851,hard_to_easy
4,x,1.6005921,easy_to_hard
4,y,0.4025245,hard_to_easy
4,x,0.364083,easy_to_hard
4,y,0.473709401,hard_to_easy
4,x,0.5059685,easy_to_hard
4,y,0.3431404,hard_to_easy
4,x,0.648988199,easy_to_hard
4,y,0.3485364,hard_to_easy
4,x,0.5169028,easy_to_hard
4,y,0.3334621,hard_to_easy
4,x,0.7620038,easy_to_hard
4,y,0.2831816,hard_to_easy
4,x,1.4377028,easy_to_hard
4,y,0.321543599,hard_to_easy
4,x,0.5751422,easy_to_hard
5,x,0.687656701,easy_to_hard
5,y,0.3679211,hard_to_easy
5,x,0.740485201,easy_to_hard
5,y,0.3705148,hard_to_easy
5,x,0.4916876,easy_to_hard
5,y,0.2836751,hard_to_easy
5,x,0.5587823,easy_to_hard
5,y,0.3504657,hard_to_easy
5,x,0.559355699,easy_to_hard
