cue,key_resp.corr,key_resp.rt,,,key_resp.corr,cue,key_resp.rt,,,,pasted as values rt,,,key_resp.corr,cue,key_resp.rt,task_switch_type,,,key_resp.corr,cue,key_resp.rt,task_switch_type
y,1,0.4228814,,,1,y,0.4448873,,avg colour-to-shape rt,0.432966963,0.704581615,,,1,y,0.4228814,,,,1,x,0.8046372,easy_to_hard
x,1,0.8046372,,,1,y,0.4585567,,avg shape-to-colour rt,0.418671954,0.418671954,,,1,x,0.8046372,easy_to_hard,,,1,y,0.4448873,hard_to_easy
x,0,0.8071981,,,1,y,0.3914917,,,,,,,1,y,0.4448873,hard_to_easy,,,1,x,0.4865439,easy_to_hard
y,1,0.4448873,,,1,y,0.3976115,,,,,,,1,y,0.4185533,,,,1,y,0.4585567,hard_to_easy
y,1,0.4185533,,,1,y,0.67442,,,,,,,1,y,0.356183001,,,,1,x,1.0338204,easy_to_hard
y,1,0.356183001,,,1,y,0.4865789,,,,,,,1,x,0.4865439,easy_to_hard,,,1,y,0.3914917,hard_to_easy
x,1,0.4865439,,,1,y,0.3418327,,,,,,,1,x,0.426247,,,,1,x,0.736714,easy_to_hard
x,1,0.426247,,,1,y,0.4386211,,,,,,,1,y,0.4585567,hard_to_easy,,,1,y,0.3976115,hard_to_easy
y,1,0.4585567,,,1,y,0.365416801,,,,,,,1,y,0.3632569,,,,1,x,0.458175399,easy_to_hard
y,1,0.3632569,,,1,y,0.5921187,,,,,,,1,y,0.3118354,,,,1,y,0.67442,hard_to_easy
y,1,0.3118354,,,1,y,0.418096,,,,,,,1,x,1.0338204,easy_to_hard,,,1,x,0.4227145,easy_to_hard
x,1,1.0338204,,,1,y,0.4369247,,,,,,,1,x,0.5196648,,,,1,y,0.4865789,hard_to_easy
x,1,0.5196648,,,1,y,0.302510899,,,,,,,1,x,0.6233721,,,,1,x,1.1590858,easy_to_hard
x,1,0.6233721,,,1,y,0.3021863,,,,,,,1,x,0.6829737,,,,1,y,0.3418327,hard_to_easy
x,1,0.6829737,,,1,y,0.3950305,,,,,,,1,y,0.3914917,hard_to_easy,,,1,x,0.6423515,easy_to_hard
y,1,0.3914917,,,1,y,0.3604277,,,,,,,1,y,0.381429801,,,,1,y,0.4386211,hard_to_easy
y,1,0.381429801,,,1,y,0.392203701,,,,,,,1,y,0.3186333,,,,1,x,0.560004701,easy_to_hard
y,1,0.3186333,,,1,y,0.405310499,,,,,,,1,y,0.3330767,,,,1,y,0.365416801,hard_to_easy
y,1,0.3330767,,,1,y,0.4176721,,,,,,,1,x,0.736714,easy_to_hard,,,1,x,0.536388201,easy_to_hard
x,1,0.736714,,,1,y,0.4378059,,,,,,,1,x,0.5666679,,,,1,y,0.5921187,hard_to_easy
x,1,0.5666679,,,1,y,0.407032399,,,,,,,1,x,0.6115891,,,,1,x,0.4923562,easy_to_hard
x,1,0.6115891,,,1,y,0.4454584,,,,,,,1,x,0.9308249,,,,1,y,0.418096,hard_to_easy
x,1,0.9308249,,,1,y,0.3630834,,,,,,,1,y,0.3976115,hard_to_easy,,,1,x,0.5392274,easy_to_hard
y,1,0.3976115,,,1,y,0.4015244,,,,,,,1,x,0.458175399,easy_to_hard,,,1,y,0.4369247,hard_to_easy
x,1,0.458175399,,,1,y,0.4127934,,,,,,,1,y,0.67442,hard_to_easy,,,1,x,1.2510772,easy_to_hard
y,1,0.67442,,,1,y,0.3958751,,,,,,,1,y,0.3528811,,,,1,y,0.302510899,hard_to_easy
y,1,0.3528811,,,1,x,0.8046372,,,,,,,1,y,0.2909319,,,,1,x,0.734393899,easy_to_hard
y,1,0.2909319,,,1,x,0.4865439,,,,,,,1,x,0.4227145,easy_to_hard,,,1,y,0.3021863,hard_to_easy
x,1,0.4227145,,,1,x,1.0338204,,,,,,,1,x,0.3487106,,,,1,x,1.0600631,easy_to_hard
x,1,0.3487106,,,1,x,0.736714,,,,,,,1,x,0.3572219,,,,1,y,0.3950305,hard_to_easy
x,1,0.3572219,,,1,x,0.458175399,,,,,,,1,y,0.4865789,hard_to_easy,,,1,x,0.6788136,easy_to_hard
y,1,0.4865789,,,1,x,0.4227145,,,,,,,1,y,0.470927699,,,,1,y,0.3604277,hard_to_easy
y,1,0.470927699,,,1,x,1.1590858,,,,,,,1,x,1.1590858,easy_to_hard,,,1,x,0.6816656,easy_to_hard
x,1,1.1590858,,,1,x,0.6423515,,,,,,,1,y,0.3418327,hard_to_easy,,,1,y,0.392203701,hard_to_easy
y,1,0.3418327,,,1,x,0.560004701,,,,,,,1,x,0.6423515,easy_to_hard,,,1,x,0.7889386,easy_to_hard
x,1,0.6423515,,,1,x,0.536388201,,,,,,,1,y,0.4386211,hard_to_easy,,,1,y,0.405310499,hard_to_easy
y,1,0.4386211,,,1,x,0.4923562,,,,,,,1,y,0.4082241,,,,1,x,0.5728823,easy_to_hard
