cue,key_resp.corr,key_resp.rt,,,key_resp.corr,cue,key_resp.rt,,,,pasted as values rt,,,,key_resp.corr,cue,key_resp.rt,task_switch_type,,key_resp.corr,cue,key_resp.rt,task_switch_type
x,1,0.4923584,,,1,y,0.3425429,,avg colour-to-shape rt,0.415156472,0.714488822,,,,1,x,0.4923584,,,1,y,0.3425429,hard_to_easy
x,1,0.3881131,,,1,y,0.348158,,avg shape-to-colour rt,0.415156472,0.415156472,,,,1,x,0.3881131,,,1,x,0.8575554,easy_to_hard
y,1,0.3425429,,,1,y,0.4700608,,,,,,,,1,y,0.3425429,hard_to_easy,,1,y,0.348158,hard_to_easy
y,0,0.295305801,,,1,y,0.3492097,,,,,,,,1,y,0.287792101,,,1,x,0.7750046,easy_to_hard
y,1,0.287792101,,,1,y,0.3249657,,,,,,,,1,x,0.8575554,easy_to_hard,,1,y,0.4700608,hard_to_easy
x,1,0.8575554,,,1,y,0.584733901,,,,,,,,1,x,0.425340501,,,1,x,0.8193486,easy_to_hard
x,1,0.425340501,,,1,y,0.4902414,,,,,,,,1,y,0.348158,hard_to_easy,,1,y,0.3492097,hard_to_easy
y,1,0.348158,,,1,y,0.4514559,,,,,,,,1,y,0.3765134,,,1,x,0.5662445,easy_to_hard
y,1,0.3765134,,,1,y,0.3633941,,,,,,,,1,y,0.3239825,,,1,y,0.3249657,hard_to_easy
y,1,0.3239825,,,1,y,0.388394,,,,,,,,1,y,0.380694,,,1,x,0.7689775,easy_to_hard
y,1,0.380694,,,1,y,0.3670033,,,,,,,,1,x,0.7750046,easy_to_hard,,1,y,0.584733901,hard_to_easy
x,1,0.7750046,,,1,y,0.374481901,,,,,,,,1,x,0.4237817,,,1,x,1.161057999,easy_to_hard
x,1,0.4237817,,,1,y,0.4360721,,,,,,,,1,x,0.556389401,,,1,y,0.4902414,hard_to_easy
x,1,0.556389401,,,1,y,0.4461449,,,,,,,,1,x,0.5558186,,,1,x,0.7764624,easy_to_hard
x,1,0.5558186,,,1,y,0.4247452,,,,,,,,1,y,0.4700608,hard_to_easy,,1,y,0.4514559,hard_to_easy
y,1,0.4700608,,,1,y,0.451307,,,,,,,,1,x,0.8193486,easy_to_hard,,1,x,0.758728,easy_to_hard
x,1,0.8193486,,,1,y,0.4668845,,,,,,,,1,y,0.3492097,hard_to_easy,,1,y,0.3633941,hard_to_easy
y,1,0.3492097,,,1,y,0.5139017,,,,,,,,1,y,0.2899252,,,1,x,0.41703,easy_to_hard
y,1,0.2899252,,,1,y,0.386326999,,,,,,,,1,x,0.5662445,easy_to_hard,,1,y,0.388394,hard_to_easy
x,1,0.5662445,,,1,y,0.3336132,,,,,,,,1,x,0.4600512,,,1,x,0.7845301,easy_to_hard
