cue,key_resp.corr,key_resp.rt,,,,key_resp.corr,cue,key_resp.rt,task_switch_type,,,key_resp.corr,cue,key_resp.rt,task_switch_type,,,,,pasted as values rt
y,1,0.2909459,,,,1,y,0.3679211,hard_to_easy,,,1,x,0.687656701,easy_to_hard,,,avg_easy-to-hard rt,0.377095345,0.597342241
y,1,0.3681956,,,,1,y,0.3705148,hard_to_easy,,,1,y,0.3679211,hard_to_easy,,,avg_hard-to-easy rt,0.366003868,0.366003868
x,1,0.687656701,,,,1,y,0.2836751,hard_to_easy,,,1,x,0.740485201,easy_to_hard,,,,,
x,1,0.5585693,,,,1,y,0.3504657,hard_to_easy,,,1,y,0.3705148,hard_to_easy,,,,,
y,1,0.3679211,,,,1,y,0.3099707,hard_to_easy,,,1,x,0.4916876,easy_to_hard,,,,,
x,1,0.740485201,,,,1,y,0.2983348,hard_to_easy,,,1,y,0.2836751,hard_to_easy,,,,,
x,1,0.3875033,,,,1,y,0.4147006,hard_to_easy,,,1,x,0.5587823,easy_to_hard,,,,,
y,1,0.3705148,,,,1,y,0.3683305,hard_to_easy,,,1,y,0.3504657,hard_to_easy,,,,,
x,1,0.4916876,,,,1,y,0.376519,hard_to_easy,,,1,x,0.559355699,easy_to_hard,,,,,
y,0,0.3281622,,,,1,y,0.3283441,hard_to_easy,,,1,y,0.3099707,hard_to_easy,,,,,
x,1,0.4488755,,,,1,y,0.3251484,hard_to_easy,,,1,x,0.5400496,easy_to_hard,,,,,
y,1,0.2836751,,,,1,y,0.3658616,hard_to_easy,,,1,y,0.2983348,hard_to_easy,,,,,
y,1,0.2993715,,,,1,y,0.3368276,hard_to_easy,,,1,x,0.4726116,easy_to_hard,,,,,
x,1,0.5587823,,,,1,y,0.3114057,hard_to_easy,,,1,y,0.4147006,hard_to_easy,,,,,
x,1,0.4332719,,,,1,y,0.3339849,hard_to_easy,,,1,x,0.4586467,easy_to_hard,,,,,
y,1,0.3504657,,,,1,y,0.421101799,hard_to_easy,,,1,y,0.3683305,hard_to_easy,,,,,
y,1,0.367585501,,,,1,y,0.3919607,hard_to_easy,,,1,x,0.370145899,easy_to_hard,,,,,
y,1,0.2972006,,,,1,y,0.4513828,hard_to_easy,,,1,y,0.376519,hard_to_easy,,,,,
x,1,0.559355699,,,,1,y,0.34992,hard_to_easy,,,1,x,0.8580909,easy_to_hard,,,,,
y,1,0.3099707,,,,1,y,0.3724626,hard_to_easy,,,1,y,0.3283441,hard_to_easy,,,,,
x,1,0.5400496,,,,1,y,0.3903935,hard_to_easy,,,1,x,0.6641999,easy_to_hard,,,,,
x,1,0.7014099,,,,1,y,0.32808,hard_to_easy,,,1,y,0.3251484,hard_to_easy,,,,,
y,1,0.2983348,,,,1,y,0.367264,hard_to_easy,,,1,x,0.5764215,easy_to_hard,,,,,
x,1,0.4726116,,,,1,y,0.3450928,hard_to_easy,,,1,y,0.3658616,hard_to_easy,,,,,
y,1,0.4147006,,,,1,y,0.5953738,hard_to_easy,,,1,x,0.7361548,easy_to_hard,,,,,
x,0,0.699322101,,,,1,y,0.3863337,hard_to_easy,,,1,y,0.3368276,hard_to_easy,,,,,
x,1,0.4586467,,,,1,y,0.4304716,hard_to_easy,,,1,x,0.6567201,easy_to_hard,,,,,
x,1,0.687124101,,,,1,y,0.2762664,hard_to_easy,,,1,y,0.3114057,hard_to_easy,,,,,
y,1,0.3683305,,,,1,x,0.687656701,easy_to_hard,,,1,x,0.3877194,easy_to_hard,,,,,
x,1,0.370145899,,,,1,x,0.740485201,easy_to_hard,,,1,y,0.3339849,hard_to_easy,,,,,
y,1,0.376519,,,,1,x,0.4916876,easy_to_hard,,,1,x,0.361113099,easy_to_hard,,,,,
y,1,0.2541557,,,,1,x,0.5587823,easy_to_hard,,,1,y,0.421101799,hard_to_easy,,,,,
y,1,0.362333801,,,,1,x,0.559355699,easy_to_hard,,,1,x,0.6181495,easy_to_hard,,,,,
x,1,0.8580909,,,,1,x,0.5400496,easy_to_hard,,,1,y,0.3919607,hard_to_easy,,,,,
y,1,0.3283441,,,,1,x,0.4726116,easy_to_hard,,,1,x,0.7740238,easy_to_hard,,,,,
x,1,0.6641999,,,,1,x,0.4586467,easy_to_hard,,,1,y,0.4513828,hard_to_easy,,,,,
x,1,0.487240599,,,,1,x,0.370145899,easy_to_hard,,,1,x,0.7459993,easy_to_hard,,,,,
x,1,0.5611875,,,,1,x,0.8580909,easy_to_hard,,,1,y,0.34992,hard_to_easy,,,,,
y,1,0.3251484,,,,1,x,0.6641999,easy_to_hard,,,1,x,0.525230801,easy_to_hard,,,,,
y,1,0.25614,,,,1,x,0.5764215,easy_to_hard,,,1,y,0.3724626,hard_to_easy,,,,,
y,1,0.3867587,,,,1,x,0.7361548,easy_to_hard,,,1,x,0.433305901,easy_to_hard,,,,,
x,1,0.5764215,,,,1,x,0.6567201,easy_to_hard,,,1,y,0.3903935,hard_to_easy,,,,,
x,1,0.3180625,,,,1,x,0.3877194,easy_to_hard,,,1,x,0.489334,easy_to_hard,,,,,
y,1,0.3658616,,,,1,x,0.361113099,easy_to_hard,,,1,y,0.32808,hard_to_easy,,,,,
y,1,0.308923501,,,,1,x,0.6181495,easy_to_hard,,,1,x,0.8199218,easy_to_hard,,,,,
x,1,0.7361548,,,,1,x,0.7740238,easy_to_hard,,,1,y,0.367264,hard_to_easy,,,,,
x,1,0.367294,,,,1,x,0.7459993,easy_to_hard,,,1,x,0.730657,easy_to_hard,,,,,
y,1,0.3368276,,,,1,x,0.525230801,easy_to_hard,,,1,y,0.3450928,hard_to_easy,,,,,
y,1,0.3059892,,,,1,x,0.433305901,easy_to_hard,,,1,x,0.9791644,easy_to_hard,,,,,
x,1,0.6567201,,,,1,x,0.489334,easy_to_hard,,,1,y,0.5953738,hard_to_easy,,,,,
x,1,0.4014504,,,,1,x,0.8199218,easy_to_hard,,,1,x,0.5427066,easy_to_hard,,,,,
x,1,1.0626974,,,,1,x,0.730657,easy_to_hard,,,1,y,0.3863337,hard_to_easy,,,,,
x,1,0.360701701,,,,1,x,0.9791644,easy_to_hard,,,1,x,0.3910506,easy_to_hard,,,,,
y,1,0.3114057,,,,1,x,0.5427066,easy_to_hard,,,1,y,0.4304716,hard_to_easy,,,,,
y,1,0.3277715,,,,1,x,0.3910506,easy_to_hard,,,1,x,0.4631299,easy_to_hard,,,,,
y,1,0.3506141,,,,1,x,0.4631299,easy_to_hard,,,1,y,0.2762664,hard_to_easy,,,,,
x,1,0.3877194,,,,1,x,0.6904104,easy_to_hard,,,1,x,0.6904104,easy_to_hard,,,,,
x,0,0.3114427,,,,1,y,0.2909459,,,,,,,,,,,,
y,1,0.3339849,,,,1,y,0.3681956,,,,,,,,,,,,
y,1,0.1996706,,,,1,x,0.5585693,,,,,,,,,,,,
y,1,0.365088,,,,1,x,0.3875033,,,,,,,,,,,,
x,1,0.361113099,,,,1,x,0.4488755,,,,,,,,,,,,
x,1,0.6236836,,,,1,y,0.2993715,,,,,,,,,,,,
y,1,0.421101799,,,,1,x,0.4332719,,,,,,,,,,,,
y,1,0.2916272,,,,1,y,0.367585501,,,,,,,,,,,,
x,1,0.6181495,,,,1,y,0.2972006,,,,,,,,,,,,
x,1,0.4028441,,,,1,x,0.7014099,,,,,,,,,,,,
y,1,0.3919607,,,,1,x,0.687124101,,,,,,,,,,,,
y,0,0.2496881,,,,1,y,0.2541557,,,,,,,,,,,,
x,1,0.7740238,,,,1,y,0.362333801,,,,,,,,,,,,
x,1,0.4501166,,,,1,x,0.487240599,,,,,,,,,,,,
y,1,0.4513828,,,,1,x,0.5611875,,,,,,,,,,,,
x,1,0.7459993,,,,1,y,0.25614,,,,,,,,,,,,
x,1,0.654980901,,,,1,y,0.3867587,,,,,,,,,,,,
y,0,0.354843,,,,1,x,0.3180625,,,,,,,,,,,,
x,1,0.409974,,,,1,y,0.308923501,,,,,,,,,,,,
y,0,0.4067155,,,,1,x,0.367294,,,,,,,,,,,,
y,1,0.34992,,,,1,y,0.3059892,,,,,,,,,,,,
y,1,0.397169,,,,1,x,0.4014504,,,,,,,,,,,,
x,1,0.525230801,,,,1,x,1.0626974,,,,,,,,,,,,
y,1,0.3724626,,,,1,x,0.360701701,,,,,,,,,,,,
x,0,0.5400714,,,,1,y,0.3277715,,,,,,,,,,,,
y,1,0.3755379,,,,1,y,0.3506141,,,,,,,,,,,,
x,1,0.433305901,,,,1,y,0.1996706,,,,,,,,,,,,
x,1,0.5863478,,,,1,y,0.365088,,,,,,,,,,,,
y,1,0.3903935,,,,1,x,0.6236836,,,,,,,,,,,,
x,1,0.489334,,,,1,y,0.2916272,,,,,,,,,,,,
y,1,0.32808,,,,1,x,0.4028441,,,,,,,,,,,,
y,1,0.3717787,,,,1,x,0.4501166,,,,,,,,,,,,
x,1,0.8199218,,,,1,x,0.654980901,,,,,,,,,,,,
x,1,0.5049306,,,,1,x,0.409974,,,,,,,,,,,,
x,1,0.606431,,,,1,y,0.397169,,,,,,,,,,,,
x,1,0.5001181,,,,1,y,0.3755379,,,,,,,,,,,,
y,1,0.367264,,,,1,x,0.5863478,,,,,,,,,,,,
y,1,0.3094193,,,,1,y,0.3717787,,,,,,,,,,,,
y,1,0.4870201,,,,1,x,0.5049306,,,,,,,,,,,,
y,1,0.3378494,,,,1,x,0.606431,,,,,,,,,,,,
x,1,0.730657,,,,1,x,0.5001181,,,,,,,,,,,,
y,1,0.3450928,,,,1,y,0.3094193,,,,,,,,,,,,
y,1,0.336093199,,,,1,y,0.4870201,,,,,,,,,,,,
x,0,1.4199058,,,,1,y,0.3378494,,,,,,,,,,,,
x,0,0.4612263,,,,1,y,0.336093199,,,,,,,,,,,,
x,1,0.9791644,,,,1,x,0.4986086,,,,,,,,,,,,
y,1,0.5953738,,,,1,y,0.3100342,,,,,,,,,,,,
x,1,0.5427066,,,,1,x,0.6931799,,,,,,,,,,,,
x,1,0.4986086,,,,1,x,0.353311799,,,,,,,,,,,,
y,1,0.3863337,,,,1,y,0.403805801,,,,,,,,,,,,
x,1,0.3910506,,,,1,y,0.4682886,,,,,,,,,,,,
y,1,0.4304716,,,,1,x,0.6089827,,,,,,,,,,,,
y,0,0.2670495,,,,,,,,,,,,,,,,,,
y,1,0.3100342,,,,,,,,,,,,,,,,,,
x,1,0.4631299,,,,,,,,,,,,,,,,,,
x,1,0.6931799,,,,,,,,,,,,,,,,,,
x,1,0.353311799,,,,,,,,,,,,,,,,,,
y,1,0.2762664,,,,,,,,,,,,,,,,,,
y,1,0.403805801,,,,,,,,,,,,,,,,,,
y,1,0.4682886,,,,,,,,,,,,,,,,,,
x,1,0.6904104,,,,,,,,,,,,,,,,,,
x,1,0.6089827,,,,,,,,,,,,,,,,,,
y,0,0.3628631,,,,,,,,,,,,,,,,,,
