stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corr_resp,tilt,key_resp.correct,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,2,10,0.0285292,,0.0114961,0.0285292,0.5284592,0.5284592,0.5460317,0.8284262,0.952228,right,10,1,1,0.4138834,975565,1,2024-09-12_22h53.51.645,adaptive_staircase,2024.1.5,None,2024-09-12 22h53.55.123700 +0530
1,2,8,0.9615341,,0.9523189,0.9615341,1.4625161,1.4625161,1.4625161,1.7624743,1.7977355,left,-8,1,1,0.3199239,975565,1,2024-09-12_22h53.51.645,adaptive_staircase,2024.1.5,None,2024-09-12 22h53.55.123700 +0530
2,2,6,1.8122587,,1.7978534,1.8122587,2.3119048,2.3119048,2.3119048,2.6121723,2.6140417,right,6,1,1,0.2967212,975565,1,2024-09-12_22h53.51.645,adaptive_staircase,2024.1.5,None,2024-09-12 22h53.55.123700 +0530
3,2,4,2.6286657,,2.61419,2.6286657,3.1280574,3.1280574,3.1280574,3.428592,3.4970805,right,4,1,1,0.3585613,975565,1,2024-09-12_22h53.51.645,adaptive_staircase,2024.1.5,None,2024-09-12 22h53.55.123700 +0530
4,1,2,3.5118806,,3.4972117,3.5118806,4.0113684,4.0113684,4.0113684,4.3114944,4.3132578,right,2,0,0,0.2893238,975565,1,2024-09-12_22h53.51.645,adaptive_staircase,2024.1.5,None,2024-09-12 22h53.55.123700 +0530
5,1,3,4.3282744,,4.3133913,4.3282744,4.8280796,4.8280796,4.8280796,5.127996,5.1989506,left,-3,1,1,0.3687395,975565,1,2024-09-12_22h53.51.645,adaptive_staircase,2024.1.5,None,2024-09-12 22h53.55.123700 +0530
6,1,3,5.2119393,,5.1990427,5.2119393,5.7114641,5.7114641,5.7277253,6.0110376,6.079185,left,-3,1,1,0.3522133,975565,1,2024-09-12_22h53.51.645,adaptive_staircase,2024.1.5,None,2024-09-12 22h53.55.123700 +0530
7,1,3,6.0935874,,6.0793119,6.0935874,6.593998,6.593998,6.593998,6.8938612,6.928513,left,-3,1,1,0.3246241,975565,1,2024-09-12_22h53.51.645,adaptive_staircase,2024.1.5,None,2024-09-12 22h53.55.123700 +0530
8,1,2,6.9441857,,6.9286327,6.9441857,7.4436869,7.4436869,7.4436869,7.7426118,7.8283467,right,2,1,1,0.3742964,975565,1,2024-09-12_22h53.51.645,adaptive_staircase,2024.1.5,None,2024-09-12 22h53.55.123700 +0530
9,1,2,7.8437858,,7.8284767,7.8437858,8.3433487,8.3433487,8.3433487,8.6434665,8.6788158,right,2,1,1,0.3303933,975565,1,2024-09-12_22h53.51.645,adaptive_staircase,2024.1.5,None,2024-09-12 22h53.55.123700 +0530
10,1,2,8.6933871,,8.6789501,8.6933871,9.1930216,9.1930216,9.1930216,9.4933592,9.511668,right,2,1,1,0.3032586,975565,1,2024-09-12_22h53.51.645,adaptive_staircase,2024.1.5,None,2024-09-12 22h53.55.123700 +0530
11,1,1,9.5261173,,9.5117965,9.5261173,10.0265109,10.0265109,10.0265109,10.3262192,10.3945316,left,-1,1,1,0.353493,975565,1,2024-09-12_22h53.51.645,adaptive_staircase,2024.1.5,None,2024-09-12 22h53.55.123700 +0530
12,0.5,1,10.4091724,,10.3946655,10.4091724,10.9092239,10.9092239,10.9092239,11.2091374,11.2441177,right,1,0,0,0.3229972,975565,1,2024-09-12_22h53.51.645,adaptive_staircase,2024.1.5,None,2024-09-12 22h53.55.123700 +0530
13,0.5,1.5,11.259057,,11.2442506,11.259057,11.7582612,11.7582612,11.7582612,12.0588422,12.1770895,left,-1.5,0,0,0.4064935,975565,1,2024-09-12_22h53.51.645,adaptive_staircase,2024.1.5,None,2024-09-12 22h53.55.123700 +0530
