num_distr,mouse.time,mouse.clicked_name,,,,num_distr,mouse.time,mouse.clicked_name,,,,num_distr,mouse.time,mouse.clicked_name,,,,num_distr,mouse.time,mouse.clicked_name,,,
5,1.0575941,Target,,,,5,1.0575941,Target,,,,10,2.0428141,Target,,,,5,1.0575941,Target,,,
10,2.0428141,Target,,,,5,1.8823117,Target,,mean rt,1.560048245,10,1.5009049,Target,,mean ,1.840043092,10,2.0428141,Target,,mean rt,1.714819266
5,1.8823117,Target,,,,5,1.4313933,Target,,,,10,2.5620338,Target,,,,5,1.8823117,Target,,,
5,1.4313933,Target,,,,5,1.2983714,Target,,,,10,1.9159761,Target,,,,5,1.4313933,Target,,,
5,1.2983714,Target,,,,5,1.3140057,Target,,,,10,2.8360102,Target,,,,5,1.2983714,Target,,,
5,1.3140057,Target,,,,5,1.3137849,Target,,,,10,4.1363487,Target,,,,5,1.3140057,Target,,,
5,1.3137849,Target,,,,5,1.2015934,Target,,,,10,1.7181216,Target,,,,5,1.3137849,Target,,,
10,1.5009049,Target,,,,5,1.7394895,Target,,,,10,1.7617855,Target,,,,10,1.5009049,Target,,,
10,2.5620338,Target,,,,5,1.5074219,Target,,,,10,1.8543629,Target,,,,10,2.5620338,Target,,,
10,1.9159761,Target,,,,5,1.5179311,Target,,,,10,1.34666,Target,,,,10,1.9159761,Target,,,
5,1.2015934,Target,,,,5,1.3317285,Target,,,,10,2.0963285,Target,,,,5,1.2015934,Target,,,
5,1.7394895,Target,,,,5,1.4671985,Target,,,,10,1.5424561,Target,,,,5,1.7394895,Target,,,
5,1.5074219,Target,,,,5,1.1933645,Target,,,,10,1.0981718,Target,,,,5,1.5074219,Target,,,
10,2.8360102,Target,,,,5,1.5836954,Target,,,,10,1.9958623,Target,,,,10,2.8360102,Target,,,
5,1.5179311,Target,,,,5,1.7339024,Target,,,,10,1.5600036,Target,,,,5,1.5179311,Target,,,
10,4.1363487,Target,,,,5,1.2796945,Target,,,,10,1.5463864,Target,,,,10,4.1363487,Target,,,
10,1.7181216,Target,,,,5,1.1911381,Target,,,,10,1.8528131,Target,,,,10,1.7181216,Target,,,
5,1.3317285,Target,,,,5,1.4457452,Target,,,,10,1.3270539,Target,,,,5,1.3317285,Target,,,
10,1.7617855,Target,,,,5,1.3337659,Target,,,,10,1.4627592,Target,,,,10,1.7617855,Target,,,
5,1.4671985,Target,,,,5,1.4124538,Target,,,,10,1.1668759,Target,,,,5,1.4671985,Target,,,
10,1.8543629,Target,,,,5,1.2504143,Target,,,,10,1.1305846,Target,,,,10,1.8543629,Target,,,
10,1.34666,Target,,,,5,2.1324432,Target,,,,10,1.1916505,Target,,,,10,1.34666,Target,,,
10,2.0963285,Target,,,,5,1.2362911,Target,,,,10,2.7562178,Target,,,,10,2.0963285,Target,,,
5,1.1933645,Target,,,,5,1.3914422,Target,,,,10,1.2699557,Target,,,,5,1.1933645,Target,,,
5,1.5836954,Target,,,,5,1.0432406,Target,,,,10,1.0306896,Target,,,,5,1.5836954,Target,,,
5,1.7339024,Target,,,,5,1.7500478,Target,,,,10,1.1308444,Target,,,,5,1.7339024,Target,,,
5,1.2796945,Target,,,,5,1.4403294,Target,,,,10,2.6932045,Target,,,,5,1.2796945,Target,,,
10,1.5424561,Target,,,,5,2.0937261,Target,,,,10,1.7499726,Target,,,,10,1.5424561,Target,,,
10,1.0981718,Target,,,,5,1.8158755,Target,,,,10,1.4545511,Target,,,,10,1.0981718,Target,,,
5,1.1911381,Target,,,,5,0.8787381,Target,,,,10,2.3318836,Target,,,,5,1.1911381,Target,,,
10,1.9958623,Target,,,,5,1.7030266,Target,,,,10,1.836862,Target,,,,10,1.9958623,Target,,,
10,1.5600036,Target,,,,5,1.0662176,Target,,,,10,1.475954,Target,,,,10,1.5600036,Target,,,
10,1.5463864,Target,,,,5,1.5782405,Target,,,,10,1.921498,Target,,,,10,1.5463864,Target,,,
5,1.4457452,Target,,,,5,1.3695163,Target,,,,10,1.6592471,Target,,,,5,1.4457452,Target,,,
10,1.8528131,Target,,,,5,1.0492387,Target,,,,10,1.0398322,Target,,,,10,1.8528131,Target,,,
5,1.3337659,Target,,,,5,1.75126,Target,,,,10,1.2599027,Target,,,,5,1.3337659,Target,,,
