num_distr,mouse.time,mouse.clicked_name,,,,num_distr,mouse.time,mouse.clicked_name,,,,num_distr,mouse.time,mouse.clicked_name,,,
5,1.8066794,Target,,,,5,1.8066794,Target,,,,10,1.4460495,Target,,,
5,2.1644698,Target,,,,5,2.1644698,Target,,,,10,1.6709632,Target,,,
10,1.4460495,Target,,,,5,1.4133482,Target,,,,10,1.4289302,Target,,,
5,1.4133482,Target,,,,5,1.7136473,Target,,,,10,3.0846375,Target,,,
5,1.7136473,Target,,,,5,1.6300701,Target,,,,10,2.3916056,Target,,,
10,1.6709632,Target,,mean rt,1.921391777,5,1.5659875,Target,,mean rt,1.821895794,10,2.2535125,Target,,mean rt,2.020199555
5,1.6300701,Target,,,,5,1.5103203,Target,,,,10,2.5041919,Target,,,
5,1.5659875,Target,,,,5,1.7930591,Target,,,,10,2.718237,Target,,,
5,1.5103203,Target,,,,5,1.4980627,Target,,,,10,3.1380626,Target,,,
10,1.4289302,Target,,,,5,2.1665608,Target,,,,10,1.6524527,Target,,,
5,1.7930591,Target,,,,5,2.8798574,Target,,,,10,1.5228549,Target,,,
10,3.0846375,Target,,,,5,1.9852111,Target,,,,10,1.9540364,Target,,,
10,2.3916056,Target,,,,5,1.4398589,Target,,,,10,2.0906294,Target,,,
5,1.4980627,Target,,,,5,1.5267954,Target,,,,10,3.473031,Target,,,
5,2.1665608,Target,,,,5,2.465675,Target,,,,10,2.0760937,Target,,,
5,2.8798574,Target,,,,5,1.837032,Target,,,,10,1.9724163,Target,,,
5,1.9852111,Target,,,,5,1.9482847,Target,,,,10,1.6510577,Target,,,
10,2.2535125,Target,,,,5,2.5317903,Target,,,,10,2.0121545,Target,,,
5,1.4398589,Target,,,,5,1.415054,Target,,,,10,4.1942254,Target,,,
5,1.5267954,Target,,,,5,2.0657714,Target,,,,10,3.4051257,Target,,,
10,2.5041919,Target,,,,5,2.6654416,Target,,,,10,2.1713545,Target,,,
10,2.718237,Target,,,,5,3.1327534,Target,,,,10,2.7105891,Target,,,
10,3.1380626,Target,,,,5,1.9601115,Target,,,,10,1.9221963,Target,,,
5,2.465675,Target,,,,5,1.6132992,Target,,,,10,1.706548,Target,,,
5,1.837032,Target,,,,5,1.6381254,Target,,,,10,1.551792,Target,,,
5,1.9482847,Target,,,,5,1.5827526,Target,,,,10,2.2046509,Target,,,
10,1.6524527,Target,,,,5,1.4205737,Target,,,,10,1.573573,Target,,,
10,1.5228549,Target,,,,5,1.7211283,Target,,,,10,2.3244789,Target,,,
5,2.5317903,Target,,,,5,1.6487751,Target,,,,10,1.3532964,Target,,,
5,1.415054,Target,,,,5,2.8276151,Target,,,,10,1.0395967,Target,,,
10,1.9540364,Target,,,,5,1.3511159,Target,,,,10,1.8763916,Target,,,
10,2.0906294,Target,,,,5,1.4319481,Target,,,,10,2.4153722,Target,,,
10,3.473031,Target,,,,5,1.6744153,Target,,,,10,3.306972,Target,,,
10,2.0760937,Target,,,,5,2.2065094,Target,,,,10,1.9418972,Target,,,
10,1.9724163,Target,,,,5,1.798123,Target,,,,10,1.2054721,Target,,,
10,1.6510577,Target,,,,5,1.923282,Target,,,,10,2.1392508,Target,,,
5,2.0657714,Target,,,,5,1.8364608,Target,,,,10,1.4605878,Target,,,
10,2.0121545,Target,,,,5,2.1817953,Target,,,,10,2.0073265,Target,,,
10,4.1942254,Target,,,,5,1.9782833,Target,,,,10,1.7881623,Target,,,
10,3.4051257,Target,,,,5,2.2194583,Target,,,,10,2.0496691,Target,,,
5,2.6654416,Target,,,,5,1.6875384,Target,,,,10,1.2403866,Target,,,
5,3.1327534,Target,,,,5,2.6332916,Target,,,,10,1.6715741,Target,,,
10,2.1713545,Target,,,,5,1.3682601,Target,,,,10,1.4271277,Target,,,
10,2.7105891,Target,,,,5,1.701173,Target,,,,10,1.3766681,Target,,,
10,1.9221963,Target,,,,5,1.8116021,Target,,,,10,1.7702888,Target,,,
10,1.706548,Target,,,,5,1.4724896,Target,,,,10,1.6880499,Target,,,
10,1.551792,Target,,,,5,1.667313,Target,,,,10,1.4326576,Target,,,
5,1.9601115,Target,,,,5,1.3419365,Target,,,,10,1.4517949,Target,,,
5,1.6132992,Target,,,,5,2.2808901,Target,,,,10,1.5703312,Target,,,
10,2.2046509,Target,,,,5,1.6945162,Target,,,,10,4.1647732,Target,,,
5,1.6381254,Target,,,,5,1.3838565,Target,,,,10,1.8603829,Target,,,
10,1.573573,Target,,,,5,1.3980833,Target,,,,10,1.6744739,Target,,,
10,2.3244789,Target,,,,5,1.6484354,Target,,,,10,2.3268281,Target,,,
5,1.5827526,Target,,,,5,1.2366401,Target,,,,10,2.3897361,Target,,,
5,1.4205737,Target,,,,5,2.0315325,Target,,,,10,1.573868,Target,,,
5,1.7211283,Target,,,,5,1.4841894,Target,,,,10,1.8087694,Target,,,
5,1.6487751,Target,,,,5,1.9003151,Target,,,,10,2.5714048,Target,,,
5,2.8276151,Target,,,,5,2.1542094,Target,,,,10,2.9111072,Target,,,
10,1.3532964,Target,,,,5,1.6991075,Target,,,,10,1.5797427,Target,,,
10,1.0395967,Target,,,,5,1.634462,Target,,,,10,2.0268696,Target,,,
5,1.3511159,Target,,,,5,1.9412058,Target,,,,10,1.5238641,Target,,,
5,1.4319481,Target,,,,5,1.7481883,Target,,,,10,3.0770307,Target,,,
10,1.8763916,Target,,,,5,1.5504787,Target,,,,10,1.3941631,Target,,,
10,2.4153722,Target,,,,5,2.0726837,Target,,,,10,2.3052711,Target,,,
5,1.6744153,Target,,,,5,1.8331847,Target,,,,10,2.2073137,Target,,,
5,2.2065094,Target,,,,5,1.54232,Target,,,,10,1.9386006,Target,,,
10,3.306972,Target,,,,5,1.6469282,Target,,,,10,1.6245173,Target,,,
10,1.9418972,Target,,,,5,1.5184417,Target,,,,10,1.9887537,Target,,,
5,1.798123,Target,,,,5,1.8993422,Target,,,,10,1.2756873,Target,,,
10,1.2054721,Target,,,,5,2.1617693,Target,,,,10,2.2721302,Target,,,
10,2.1392508,Target,,,,5,1.2975814,Target,,,,10,1.9149665,Target,,,
10,1.4605878,Target,,,,5,1.5243211,Target,,,,10,2.0694818,Target,,,
10,2.0073265,Target,,,,5,1.367544,Target,,,,10,1.4996718,Target,,,
10,1.7881623,Target,,,,5,2.0155466,Target,,,,10,2.4599393,Target,,,
